0,1,1472.57,417.66,78.16,174.75,0.91,-1,-1,-1
0,2,468.95,429.87,71.05,177.63,0.90,-1,-1,-1
0,3,1366.88,394.79,69.28,223.82,0.89,-1,-1,-1
0,4,548.88,435.64,57.73,166.97,0.88,-1,-1,-1
0,5,724.74,420.54,61.28,178.52,0.85,-1,-1,-1
0,6,582.19,428.76,67.50,175.19,0.84,-1,-1,-1
0,7,1110.20,416.99,30.20,82.60,0.84,-1,-1,-1
0,8,679.44,415.21,64.84,195.39,0.84,-1,-1,-1
0,9,1223.88,411.88,39.08,113.91,0.84,-1,-1,-1
0,10,1170.59,418.10,35.53,105.91,0.83,-1,-1,-1
0,11,629.70,419.43,53.29,147.66,0.77,-1,-1,-1
0,12,809.11,432.31,22.20,60.17,0.74,-1,-1,-1
0,13,961.88,428.76,33.75,96.14,0.73,-1,-1,-1
0,14,856.18,429.65,25.76,73.94,0.71,-1,-1,-1
1,1,1464.94,418.04,79.54,177.83,0.90,-1,-1,-1
1,2,461.39,430.25,70.75,176.86,0.90,-1,-1,-1
1,3,1365.30,395.17,69.35,223.82,0.88,-1,-1,-1
1,4,542.55,433.33,58.82,170.06,0.88,-1,-1,-1
1,5,717.08,416.88,61.96,180.64,0.86,-1,-1,-1
1,6,575.61,425.87,68.33,177.31,0.87,-1,-1,-1
1,7,1105.71,417.76,29.92,81.83,0.79,-1,-1,-1
1,8,672.20,413.09,65.45,197.13,0.86,-1,-1,-1
1,9,1220.03,412.27,39.08,113.91,0.84,-1,-1,-1
1,10,1166.11,419.45,35.25,104.95,0.83,-1,-1,-1
1,11,624.38,421.94,51.61,142.84,0.81,-1,-1,-1
1,12,802.49,430.00,22.34,60.56,0.70,-1,-1,-1
1,13,952.82,418.16,37.99,108.28,0.58,-1,-1,-1
1,14,850.91,429.65,25.51,73.17,0.73,-1,-1,-1
2,1,1458.73,419.31,78.57,175.78,0.91,-1,-1,-1
2,2,454.11,428.41,71.58,178.98,0.91,-1,-1,-1
2,3,1361.21,396.97,70.07,225.89,0.87,-1,-1,-1
2,4,536.75,432.25,58.82,169.90,0.86,-1,-1,-1
2,5,709.15,416.94,61.53,179.63,0.82,-1,-1,-1
2,6,568.64,428.64,67.05,173.71,0.85,-1,-1,-1
2,7,1099.68,416.50,30.67,83.78,0.84,-1,-1,-1
2,8,665.96,412.04,65.19,196.05,0.82,-1,-1,-1
2,9,1212.01,412.16,38.56,112.35,0.86,-1,-1,-1
2,10,1158.53,419.85,34.92,103.92,0.82,-1,-1,-1
2,11,617.48,423.07,52.08,144.12,0.81,-1,-1,-1
2,12,795.90,430.98,22.24,60.28,0.77,-1,-1,-1
2,13,947.29,415.00,38.74,110.40,0.67,-1,-1,-1
2,14,843.77,431.21,25.44,72.86,0.68,-1,-1,-1
2,15,1181.60,423.21,29.15,87.39,0.56,-1,-1,-1
3,1,1451.85,419.71,78.83,176.42,0.90,-1,-1,-1
3,2,446.66,430.36,70.99,177.47,0.89,-1,-1,-1
3,3,1358.13,399.21,69.90,225.20,0.87,-1,-1,-1
3,4,529.64,432.62,58.74,169.79,0.87,-1,-1,-1
3,5,699.35,417.03,60.63,176.89,0.83,-1,-1,-1
3,6,561.92,429.76,67.04,173.72,0.84,-1,-1,-1
3,7,1094.04,417.61,30.53,83.23,0.84,-1,-1,-1
3,8,658.28,411.24,66.62,199.57,0.86,-1,-1,-1
3,9,1206.72,413.83,38.64,112.54,0.85,-1,-1,-1
